n_matches,weight_recent,brier,rps,log_loss,sign,n_total,sec
5,0.2,0.5872,0.413,0.9883,0.563,176,810.9
3,0.2,0.5886,0.4136,0.9904,0.5631,176,841.6
3,0.0,0.5932,0.4176,0.9967,0.569,176,887.8
5,0.0,0.5932,0.4176,0.9967,0.569,176,797.9
