config,brier_2014,brier_2018,brier_2022,avg_brier,avg_sign,sec
rf02_db010_disp0,0.5663,0.5765,0.6153,0.586,0.5685,818.7
rf02_db020_disp0,0.5666,0.5793,0.6158,0.5872,0.563,797.9
rf02_db030_disp0,0.5671,0.5826,0.6167,0.5888,0.5635,824.6
rf02_db020_disp10,0.5696,0.5823,0.6169,0.5896,0.563,827.3
